Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
Birmingham City,25.2,71.93333333,W. Harding,8,ST,30,Spain
Blackburn Rovers,23.76666667,72.06666667,W. Tomlinson,8,ST,30,Spain
Blackpool,24.67857143,67.07142857,S. Davies,5,ST,28,St Kitts Nevis
Boavista FC,26.25925926,71.77777778,Y. Njie,9,ST,27,Senegal
Boca Juniors,25.81481481,78.14814815,W. Barrios,8,ST,27,Uruguay
Bohemian FC,21.48,64.24,S. Bohan,1,ST,25,Romania
Bologna,25.46428571,78.17857143,Vinicius,9,ST,28,Switzerland
Bolton Wanderers,27.46666667,69.03333333,Y. Wildschut,8,ST,30,Wales
Borussia Dortmund,23.09090909,82.39393939,T. Matthews,8,ST,33,United States
Borussia Mönchengladbach,24.23333333,79.56666667,Y. Sommer,9,ST,30,United States
Botafogo,30.4,71.3,Welson Leima,9,ST,20,Brazil
Bournemouth,24.375,75.9375,T. Mings,77,ST,32,Wales
Boyacá Chicó FC,24.96428571,65.25,Y. Requena,1,ST,28,Venezuela
Bradford City,24.96428571,67.5,T. Robinson,9,ST,28,Zimbabwe
Bray Wanderers,22.2173913,62.60869565,S. Heaney,1,RWB,23,Republic of Ireland
Brentford,22.53333333,73.53333333,Y. Barbet,9,ST,30,Wales
Brescia,23.6,71.9,S. Tonali,8,ST,30,Switzerland
Brighton & Hove Albion,25.25,76.375,Y. Bissouma,9,ST,32,Sweden
Brisbane Roar,26.69565217,67.65217391,T. Mikkelsen,7,ST,23,Spain
Bristol City,24.3,72.9,T. Kalas,9,ST,30,Wales
Bristol Rovers,25.14285714,64.67857143,T. Nichols,4,ST,28,Wales
Brøndby IF,24.40740741,70.7037037,U. Bech,9,ST,27,Sweden
Burnley,25.75757576,74.39393939,T. Heaton,8,ST,33,Wales
Bursaspor,24.33333333,73.6,Y. Erdoğan,9,ST,30,Turkey
Burton Albion,25.17857143,68.14285714,W. Miller,7,ST,28,Scotland
Bury,25.64285714,65.82142857,W. Aimson,6,ST,28,Wales
CA Osasuna,26.2,72.72,Xisco,9,ST,25,Spain
CD Antofagasta,25.71428571,69.03571429,T. Asta-Buruaga,5,ST,28,Venezuela
CD Aves,26.96428571,71.35714286,Vítor Gomes,9,ST,28,Portugal
CD Everton de Viña del Mar,24.11111111,69.55555556,S. Leyton,6,ST,27,Uruguay
CD Feirense,26.57692308,71.30769231,Zé Pedro,9,ST,26,Portugal
CD Huachipato,22.85185185,69.40740741,Y. Urra,7,ST,27,Venezuela
CD Leganés,25.21212121,75.78787879,Óscar,9,ST,33,Uruguay
CD Lugo,24.86666667,72.16666667,V. Kravets,8,ST,30,Ukraine
CD Nacional,24.65384615,72.61538462,Witi,9,ST,26,Serbia
CD Numancia,25.5,71.25,Y. Yeboah,8,ST,28,Spain
CD O'Higgins,24.39285714,70.71428571,T. Alarcón,7,ST,28,Uruguay
CD Palestino,25.75,70.28571429,S. Pérez,6,ST,28,Uruguay
CD Tenerife,25.23333333,73.3,Ángel Galván,8,ST,30,Venezuela
CD Tondela,25.2,72.08,Ícaro,6,ST,25,Venezuela
CD Universidad de Concepción,27.51851852,69.62962963,W. Ponce,5,ST,27,Paraguay
CF Rayo Majadahonda,26.03846154,71.5,Óscar Valentín,5,ST,26,Uruguay
CF Reus Deportiu,23.82142857,71.21428571,S. Moore,6,ST,28,Venezuela
Cagliari,28.41666667,75.75,S. Padoin,8,ST,24,Moldova
Cambridge United,24.53571429,63.14285714,T. Knowles,4,ST,28,Republic of Ireland
Cardiff City,26.15151515,71.87878788,S. Morrison,55,ST,33,Wales
Carlisle United,25.08,63.36,T. Parkes,5,ST,25,Wales
Carpi,24.26666667,68.6,Z. Machach,8,ST,30,Slovenia
Ceará Sporting Club,30.2,67.7,Victor Fachinhas,9,ST,20,Brazil
Celtic,25.67857143,76.25,Y. Mulumbu,7,ST,28,Sweden
Central Coast Mariners,24.44,66.6,T. Oar,6,ST,25,Scotland
Cerezo Osaka,27.33333333,66.06666667,Yang Dong Hyen,7,ST,30,Thailand
Chamois Niortais Football Club,22.28571429,70.21428571,Z. Grich,5,ST,28,Senegal
Changchun Yatai FC,26.89285714,64.82142857,Zuo Yiteng,9,ST,28,Serbia
Chapecoense,30.4,69.75,Vágner Norteiro,9,ST,20,Brazil
Charlton Athletic,24.14285714,70.64285714,T. Stevenson,7,ST,28,Republic of Ireland
Chelsea,25.21212121,82.63636364,Willian,99,ST,33,Wales
Cheltenham Town,25.5,64.95833333,W. Boyle,5,ST,24,Wales
Chicago Fire,25.73913043,70.04347826,Y. Movsisyan,9,ST,23,United States
Chievo Verona,27.67857143,74.85714286,V. Birsa,9,ST,28,Slovenia
Chongqing Dangdai Lifan FC SWM Team,28.17857143,63.39285714,Zheng Tao,9,ST,28,China PR
Cittadella,24.34482759,70.86206897,T. Cancellotti,5,ST,29,Italy
Clermont Foot 63,24.12,69.16,Y. Sari,6,ST,25,Uruguay
Club América,24.36666667,74.46666667,V. Rodríguez,8,ST,30,United States
Club Atlas,23.34482759,72.79310345,U. Cardona,4,ST,29,Uruguay
Club Atlético Aldosivi,27.28571429,69.42857143,R. Garay,9,ST,28,Uruguay
Club Atlético Banfield,23.51851852,74.96296296,S. Benega,8,ST,27,Paraguay
Club Atlético Colón,25.46428571,73.53571429,T. Sandoval,9,ST,28,Uruguay
Club Atlético Huracán,26.78571429,71.78571429,W. Pérez,9,ST,28,Paraguay
Club Atlético Lanús,24.42857143,73.82142857,T. Belmonte,9,ST,28,Uruguay
Club Atlético Talleres,23.92857143,73.92857143,T. Pochettino,9,ST,28,Venezuela
Club Atlético Tigre,28.07142857,70.5,W. Montillo,9,ST,28,Uruguay
Club Brugge KV,22.85714286,78.85714286,Wesley,9,ST,28,Zimbabwe
Club Deportes Temuco,26.39285714,67.5,Y. Aguila,3,ST,28,Uruguay
Club León,25.16666667,71.76666667,Y. Moreno,9,ST,30,United States
Club Necaxa,24.86666667,69.83333333,Y. Gutiérrez,9,ST,30,Uruguay
Club Tijuana,24.25,71.64285714,R. Rubin,8,ST,28,Uruguay
Clube Sport Marítimo,25.95652174,72.60869565,Zainadine,9,ST,23,Portugal
Colchester United,22.42857143,69.10714286,T. Lapslie,5,ST,28,Wales
Colo-Colo,25.71428571,74.78571429,R. Alvarez,8,RW,28,Venezuela
Colorado Rapids,25.86956522,70.30434783,Z. MacMath,7,ST,23,Uruguay
Columbus Crew SC,25.80769231,71.76923077,Z. Steffen,8,ST,26,Venezuela
Cork City,23.92,64.52,T. Ryan,1,ST,25,Republic of Ireland
Cosenza,25.23333333,68.73333333,U. Saracco,6,ST,30,Uruguay
Coventry City,23.17857143,69.25,Z. Westbrooke,4,ST,28,Sierra Leone
Cracovia,24.77777778,66.81481481,S. Zenjov,5,ST,27,Ukraine
Crawley Town,25.91666667,64.66666667,Y. Mersin,5,ST,24,Turkey
Crewe Alexandra,23.35714286,66.25,W. Jääskeläinen,5,ST,28,Wales
Crotone,24.41666667,71.41666667,V. Golemić,6,ST,24,Venezuela
Cruz Azul,26.4,73.24,W. Montoya,9,ST,25,Uruguay
Cruzeiro,30.6,72.4,Édundo Oliveira,9,ST,20,Brazil
Crystal Palace,25.1875,75.90625,W. Zaha,8,ST,32,Wales
Curicó Unido,27.46428571,66.10714286,Y. Opazo,4,ST,28,Uruguay
Cádiz CF,25.93333333,71.1,Álex Fernández,9,ST,30,Spain
Córdoba CF,25,71.38461538,Sebas Moyano,7,ST,26,Spain
DC United,25.85714286,70.82142857,Z. Stieber,8,ST,28,Venezuela
DSC Arminia Bielefeld,24.25,72.21428571,T. Schütz,9,ST,28,Turkey
Daegu FC,23.64285714,67.96428571,Seo Jae Min,5,ST,28,Korea Republic
Dalian YiFang FC,26.71428571,63.21428571,Zhu Xiaogang,5,ST,28,Zimbabwe
Dalkurd FF,25.71428571,63.66666667,S. van der Lei,2,ST,21,United States
De Graafschap,23.7,68.9,Y. El Jebli,5,ST,30,Suriname
Defensa y Justicia,24.64285714,73.25,R. Delgado,9,ST,28,Uruguay
Deportes Iquique,26.03571429,68.35714286,R. Naranjo,4,ST,28,Venezuela
Deportes Tolima,25.17857143,71,Y. Orozco,4,ST,28,Venezuela
Deportivo Alavés,24.7037037,77.81481481,Álex Domínguez,9,ST,27,Sweden
Deportivo Cali,25.17857143,74.53571429,P. Mina,5,ST,28,Uruguay
Deportivo Pasto,26.32142857,67.89285714,V. Cabezas,1,ST,28,Nicaragua
Deportivo Toluca,26.39285714,71.53571429,William,9,ST,28,Uruguay
Deportivo de La Coruña,26,75.1,Álex Cobo,9,ST,30,Venezuela
Derby County,26.16666667,73.96666667,T. Lawrence,5,ST,30,Wales
Derry City,22.11111111,65.88888889,S. Todd,2,ST,18,Scotland
Dijon FCO,26.07692308,74.53846154,Y. Gourcuff,9,ST,26,Tunisia
Dinamo Zagreb,24.53571429,74.39285714,T. Doumbia,1,ST,28,Switzerland
Djurgårdens IF,25,68.96,T. Vaiho,6,ST,25,Zambia
Doncaster Rovers,23.71428571,68.10714286,W. Longbottom,5,ST,28,Wales
Dundalk,25,66.60869565,S. O'Donnell,2,ST,23,Republic of Ireland
Dundee FC,24.81481481,67.51851852,S. Moussa,5,ST,27,Tunisia
Dynamo Kyiv,23.64285714,77.60714286,Vitor Bueno,1,ST,28,Ukraine
ESTAC Troyes,26,70.76666667,Yohan Tavares,9,ST,30,Venezuela
Eintracht Braunschweig,23.5,69.67857143,Y. Otto,5,ST,28,Turkey
Eintracht Frankfurt,25,77.87878788,T. Tawatha,9,ST,33,United States
Elche CF,26.46153846,70.19230769,Óscar Gil,6,ST,26,Venezuela
Empoli,25.06060606,74.36363636,S. Uçan,9,ST,33,Turkey
En Avant de Guingamp,25.12,76.16,Y. Ngbakoto,9,ST,25,Sweden
Envigado FC,22.03571429,71.46428571,Y. Guzmán,1,ST,28,England
Esbjerg fB,23.8,67.48,Y. Yakovenko,4,ST,25,Ukraine
Estudiantes de La Plata,25.46428571,72.42857143,R. Braña,9,ST,28,Ecuador
Ettifaq FC,23.76666667,68.2,S. Al Selouli,9,ST,30,Uruguay
Everton,24.21212121,79.96969697,Y. Mina,97,ST,33,Turkey
Excelsior,24.15384615,71.07692308,T. Oude Kotte,6,ST,26,United States
Exeter City,24.42857143,65.67857143,W. Dean,5,ST,28,Wales
Extremadura UD,26.2,69.16666667,Íñigo López,7,ST,30,Uruguay
FC Admira Wacker Mödling,21.92592593,70.11111111,W. Vorsager,6,ST,27,Turkey
FC Augsburg,24.61290323,75.48387097,S. Córdova,9,ST,31,Venezuela
FC Barcelona,23.84848485,85.3030303,T. Vermaelen,69,ST,33,Uruguay
FC Basel 1893,24.14814815,76.2962963,Z. Kuzmanović,8,ST,27,Switzerland
FC Bayern München,24.31034483,83.65517241,Thiago,94,ST,29,Spain
FC Carl Zeiss Jena,23.67857143,67.17857143,V. Stenzel,6,ST,28,Turkey
FC Dallas,24.55172414,71.93103448,V. Ulloa,8,ST,29,United States
FC Emmen,24.2,67.36666667,W. Marinus,5,ST,30,Netherlands
FC Energie Cottbus,25.14285714,66.78571429,T. Kruse,1,ST,28,Kazakhstan
FC Erzgebirge Aue,24.5862069,70,T. Baumgart,6,ST,29,Serbia
FC Girondins de Bordeaux,23.48387097,78.16129032,Z. Youssouf,8,ST,31,Spain
FC Groningen,21.42307692,74.11538462,U. Antuna,8,ST,26,Netherlands
FC Hansa Rostock,24.56,68.36,W. Evseev,5,ST,25,Portugal
FC Ingolstadt 04,24.83333333,71.7,T. Schröck,9,ST,30,Turkey
FC København,25.73913043,73,Zeca,9,ST,23,Sweden
FC Lorient,24.23333333,70.56666667,Y. Wissa,8,ST,30,Senegal
FC Lugano,24.88888889,68.66666667,V. Fazliu,8,ST,27,Uruguay
FC Luzern,23.81481481,71.22222222,Y. Schmid,8,ST,27,Switzerland
FC Metz,24.19230769,74.46153846,V. Selimović,8,ST,26,Zambia
